Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM Score,Customer Segment
SM-20320,80,5,25043.05,2,2,4,224,Big Spenders
TC-20980,400,5,19052.217999999997,1,2,4,124,Big Spenders
RB-19360,97,6,15117.339,2,3,4,234,Big Spenders
TA-21385,70,4,14595.62,3,1,4,314,Big Spenders
AB-10105,42,10,14473.570999999998,3,4,4,344,Loyal Customers
KL-16645,48,12,14175.229000000001,3,4,4,344,Loyal Customers
SC-20095,350,9,14142.333999999999,1,4,4,144,Big Spenders
HL-15040,44,6,12873.297999999999,3,2,4,324,Big Spenders
SE-20110,10,11,12209.438000000002,4,4,4,444,Champions
CC-12370,44,5,12129.072,3,2,4,324,Big Spenders
